"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"buildroot","2026.08","GPL-2.0+","COPYING","not saved","not saved",""
"gcc-final","15.3.0","GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0","COPYING COPYING3 COPYING.LIB COPYING3.LIB","gcc-15.3.0.tar.xz","https://ftpmirror.gnu.org/gcc/gcc-15.3.0","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-binutils [GPL-3.0+, GPL-2.0+, LGPL-2.1+] host-gcc-initial [GPL-2.0, GPL-3.0, LGPL-2.1, LGPL-3.0] host-gmp [LGPL-3.0+ or GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [GPL-2.0-or-later] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"binutils","2.45.1","GPL-3.0+, GPL-2.0+, LGPL-2.1+","COPYING COPYING3 COPYING.LIB","binutils-2.45.1.tar.xz","https://ftpmirror.gnu.org/binutils","host-skeleton [GPL-2.0-or-later]"
"gmp","6.3.0","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.3.0.tar.xz","https://ftpmirror.gnu.org/gmp","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [GPL-2.0-or-later]"
"autoconf","2.73","GPL-3.0+ with exceptions","COPYINGv3 COPYING.EXCEPTION","autoconf-2.73.tar.xz","https://ftpmirror.gnu.org/autoconf","host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [GPL-2.0-or-later]"
"libtool","2.5.4","GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)","COPYING libltdl/COPYING.LIB","libtool-2.5.4.tar.xz","https://ftpmirror.gnu.org/libtool","host-m4 [GPL-3.0+] host-skeleton [GPL-2.0-or-later]"
"m4","1.4.21","GPL-3.0+","COPYING","m4-1.4.21.tar.xz","https://ftpmirror.gnu.org/m4","host-skeleton [GPL-2.0-or-later]"
"automake","1.16.5","GPL-2.0+","COPYING","automake-1.16.5.tar.xz","https://ftpmirror.gnu.org/automake","host-autoconf [GPL-3.0+ with exceptions] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [GPL-2.0-or-later]"
"mpc","1.4.1","LGPL-3.0+","COPYING.LESSER","mpc-1.4.1.tar.xz","https://ftpmirror.gnu.org/mpc","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [GPL-2.0-or-later]"
"mpfr","4.2.2","LGPL-3.0+","COPYING.LESSER","mpfr-4.2.2.tar.xz","http://www.mpfr.org/mpfr-4.2.2","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-skeleton [GPL-2.0-or-later]"
