"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","15.3.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-15.3.0.tar.xz","https://ftpmirror.gnu.org/gcc/gcc-15.3.0","linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"musl","1.2.6","MIT","COPYRIGHT","musl-1.2.6.tar.gz","http://musl.libc.org/releases","linux-headers [GPL-2.0] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"linux-headers","6.18.50","GPL-2.0","COPYING LICENSES/preferred/GPL-2.0 LICENSES/exceptions/Linux-syscall-note","linux-6.18.50.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v6.x","skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"bubblewrap","0.11.2","LGPL-2.0+","COPYING","bubblewrap-0.11.2.tar.xz","https://github.com/containers/bubblewrap/releases/download/v0.11.2","gcc-final [GPL-3.0-with-GCC-exception] libcap [GPL-2.0 or BSD-3-Clause] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libcap","2.78","GPL-2.0 or BSD-3-Clause","License","libcap-2.78.tar.xz","https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"busybox","1.38.0","GPL-2.0, bzip2-1.0.6","LICENSE archival/libarchive/bz/LICENSE","busybox-1.38.0.tar.bz2","https://www.busybox.net/downloads","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"cairo","1.18.4","LGPL-2.1 or MPL-1.1 (library)","COPYING COPYING-LGPL-2.1 COPYING-MPL-1.1","cairo-1.18.4.tar.xz","http://cairographics.org/releases","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] pixman [MIT] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"fontconfig","2.17.1","fontconfig license","COPYING","fontconfig-2.17.1.tar.xz","https://gitlab.freedesktop.org/api/v4/projects/890/packages/generic/fontconfig/2.17.1","expat [MIT] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"expat","2.8.4","MIT","COPYING","expat-2.8.4.tar.xz","https://github.com/libexpat/libexpat/releases/download/R_2_8_4","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"freetype","2.14.3","FTL or GPL-2.0+","LICENSE.TXT docs/FTL.TXT docs/GPLv2.TXT","freetype-2.14.3.tar.xz","https://download.savannah.gnu.org/releases/freetype","gcc-final [GPL-3.0-with-GCC-exception] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
